2 3 53
3 4 53
9 10 53
6 7 53
0 1 53
1 2 53
5 6 53
4 5 53
11 12 53
10 11 53
8 9 53
7 8 53
103 31 29
23 103 25
17 15 103
19 17 103
103 35 33
103 33 31
103 29 27
103 27 25
13 0 103
15 13 103
21 103 23
21 19 103
113 34 47
113 28 30
16 18 113
18 20 113
113 30 32
113 32 34
113 24 26
113 26 28
12 14 113
14 16 113
22 24 113
20 22 113
163 38 37
163 39 38
163 47 46
163 44 43
163 36 35
163 37 36
163 41 40
163 40 39
163 45 44
163 46 45
163 42 41
163 43 42
0 51 50
12 56 55
0 70 81
125 136 35
12 91 80
146 135 47
160 161 35
165 166 47
52 53 64
0 53 52
0 52 51
0 50 49
49 50 62
53 54 64
12 54 53
12 55 54
12 57 56
56 57 66
92 104 103
0 92 103
0 81 92
0 59 70
59 82 70
103 104 114
103 114 35
114 125 35
136 147 35
126 147 136
102 113 112
12 113 102
12 102 91
12 80 69
69 80 90
112 113 124
124 113 47
135 124 47
157 146 47
134 146 157
86 87 97
87 98 97
96 97 108
97 98 108
152 163 162
162 163 35
161 162 35
159 160 35
150 160 159
152 164 163
163 164 47
164 165 47
166 167 47
154 167 166
95 96 107
96 108 107
107 108 118
98 99 109
98 109 108
108 109 120
119 131 130
119 120 131
108 119 118
108 120 119
62 63 74
52 64 63
51 52 63
50 51 63
50 63 62
63 64 75
63 75 74
74 75 86
62 74 73
49 62 61
61 62 73
60 61 72
61 73 72
88 99 98
87 88 98
57 67 66
67 68 78
82 94 93
92 93 104
81 93 92
70 93 81
70 82 93
82 83 94
83 95 94
0 48 59
0 49 48
48 61 60
48 49 61
59 71 82
71 83 82
48 60 71
59 48 71
60 72 71
71 72 83
126 137 147
137 138 148
90 101 100
101 102 112
91 102 101
80 91 101
80 101 90
89 90 100
78 89 88
89 100 99
88 89 99
12 69 58
12 58 57
58 68 67
57 58 67
69 90 79
79 90 89
68 58 79
58 69 79
68 79 78
78 79 89
134 157 145
144 145 156
140 151 150
151 152 162
151 162 161
151 161 160
150 151 160
141 152 151
140 141 151
130 141 140
139 140 150
128 139 138
158 159 35
147 158 35
137 148 158
147 137 158
149 150 159
139 150 149
148 149 158
149 159 158
138 149 148
138 139 149
167 168 47
157 47 168
145 168 156
145 157 168
154 155 167
144 156 155
155 156 168
155 168 167
64 65 75
54 65 64
54 55 65
55 56 65
56 66 65
65 66 76
65 76 75
76 87 86
75 76 86
73 74 85
74 86 85
85 86 97
85 97 96
115 116 126
104 115 114
114 115 125
115 136 125
115 126 136
93 105 104
93 94 105
104 105 115
105 116 115
116 127 126
126 127 137
127 138 137
127 128 138
122 123 134
112 124 123
123 124 135
123 135 146
123 146 134
101 112 111
100 101 111
111 112 123
111 123 122
120 132 131
122 134 133
133 134 145
133 145 144
132 133 144
141 153 152
152 153 164
153 165 164
153 166 165
153 154 166
142 154 153
141 142 153
130 131 142
130 142 141
129 140 139
128 129 139
129 130 140
118 129 128
119 130 129
118 119 129
66 67 77
66 77 76
67 78 77
77 78 88
77 88 87
76 77 87
83 84 95
73 85 84
72 73 84
72 84 83
84 96 95
84 85 96
94 95 106
94 106 105
95 107 106
105 106 116
99 100 110
100 111 110
99 110 109
110 111 122
143 155 154
142 143 154
143 144 155
132 144 143
131 132 143
131 143 142
106 117 116
116 117 127
117 128 127
117 118 128
107 118 117
106 107 117
110 122 121
121 122 133
121 133 132
120 121 132
109 121 120
109 110 121
